Name, N, Meff, PPV, PPV/2, PPV/5, PPV/10, PPV-short, PPV/2-short, PPV/5-short, PPV/10-short, PPV-medium, PPV/2-medium, PPV/5-medium, PPV/10-medium, PPV-long, PPV/2-long, PPV/5-long, PPV/10-long, TM-score, RMSD
T0759-D1, 34, 488.637869, 0.352941, 0.588235, 0.666667, 1.000000, 0.352941, 0.588235, 0.666667, 1.000000, 0.176471, 0.235294, 0.500000, 0.666667, 0.029412, 0.058824, 0.000000, 0.000000
T0759-D2, 62, 204.014910, 0.612903, 0.709677, 0.916667, 1.000000, 0.419355, 0.677419, 0.916667, 1.000000, 0.338710, 0.580645, 0.750000, 0.666667, 0.048387, 0.032258, 0.000000, 0.000000
T0760-D1, 201, 269.397975, 0.616915, 0.720000, 0.800000, 0.750000, 0.253731, 0.430000, 0.750000, 0.800000, 0.343284, 0.470000, 0.575000, 0.500000, 0.477612, 0.620000, 0.775000, 0.800000
T0761-D1, 88, 23.046418, 0.556818, 0.727273, 0.823529, 1.000000, 0.340909, 0.568182, 0.823529, 0.875000, 0.386364, 0.590909, 0.705882, 0.750000, 0.068182, 0.068182, 0.117647, 0.250000
T0761-D2, 113, 7.000000, 0.380531, 0.500000, 0.818182, 0.727273, 0.247788, 0.375000, 0.681818, 0.727273, 0.247788, 0.392857, 0.545455, 0.818182, 0.035398, 0.035714, 0.000000, 0.000000
T0762-D1, 257, 12619.238241, 0.680934, 0.804688, 0.901961, 1.000000, 0.229572, 0.367188, 0.509804, 0.720000, 0.140078, 0.234375, 0.372549, 0.520000, 0.657588, 0.796875, 0.921569, 1.000000
T0763-D1, 130, 22.233333, 0.346154, 0.476923, 0.615385, 0.615385, 0.276923, 0.369231, 0.576923, 0.692308, 0.323077, 0.369231, 0.500000, 0.461538, 0.138462, 0.200000, 0.230769, 0.307692
T0764-D1, 321, 16491.915037, 0.657321, 0.825000, 0.859375, 0.968750, 0.199377, 0.281250, 0.421875, 0.593750, 0.199377, 0.350000, 0.625000, 0.812500, 0.557632, 0.800000, 0.859375, 0.906250
T0765-D1, 76, 560.267643, 0.565789, 0.684211, 0.866667, 0.857143, 0.263158, 0.394737, 0.533333, 0.714286, 0.223684, 0.289474, 0.600000, 1.000000, 0.539474, 0.578947, 0.666667, 0.857143
T0766-D1, 108, 330.566198, 0.601852, 0.666667, 0.761905, 0.800000, 0.407407, 0.666667, 0.857143, 0.900000, 0.472222, 0.592593, 0.619048, 0.600000, 0.212963, 0.240741, 0.285714, 0.300000
T0767-D1, 76, 57.670635, 0.500000, 0.605263, 0.533333, 0.571429, 0.328947, 0.552632, 0.466667, 0.428571, 0.381579, 0.500000, 0.666667, 0.857143, 0.276316, 0.342105, 0.333333, 0.285714
T0767-D2, 180, 116.581218, 0.361111, 0.511111, 0.638889, 0.666667, 0.094444, 0.122222, 0.166667, 0.277778, 0.150000, 0.255556, 0.472222, 0.555556, 0.305556, 0.433333, 0.694444, 0.777778
T0768-D1, 143, 17186.305336, 0.734266, 0.802817, 0.928571, 1.000000, 0.223776, 0.309859, 0.607143, 0.785714, 0.699301, 0.830986, 0.785714, 1.000000, 0.300699, 0.450704, 0.642857, 0.714286
T0769-D1, 97, 1.000000, 0.463918, 0.520833, 0.315789, 0.555556, 0.206186, 0.395833, 0.631579, 0.555556, 0.237113, 0.416667, 0.421053, 0.333333, 0.268041, 0.395833, 0.631579, 0.777778
T0770-D1, 456, 7358.314781, 0.495614, 0.671053, 0.846154, 0.977778, 0.186404, 0.285088, 0.406593, 0.488889, 0.208333, 0.320175, 0.439560, 0.600000, 0.414474, 0.609649, 0.813187, 0.888889
T0771-D1, 151, 35.183827, 0.205298, 0.280000, 0.266667, 0.333333, 0.165563, 0.280000, 0.366667, 0.333333, 0.086093, 0.133333, 0.200000, 0.133333, 0.019868, 0.013333, 0.033333, 0.066667
T0772-D1, 214, 1655.914599, 0.705607, 0.841121, 0.857143, 0.952381, 0.271028, 0.401869, 0.476190, 0.476190, 0.336449, 0.373832, 0.547619, 0.761905, 0.696262, 0.859813, 0.880952, 0.952381
T0773-D1, 67, 10.495565, 0.328358, 0.393939, 0.461538, 0.833333, 0.268657, 0.363636, 0.615385, 0.833333, 0.134328, 0.212121, 0.230769, 0.166667, 0.268657, 0.242424, 0.153846, 0.166667
T0774-D1, 333, 937.564733, 0.510511, 0.608434, 0.727273, 0.818182, 0.225225, 0.301205, 0.439394, 0.484848, 0.210210, 0.283133, 0.393939, 0.515152, 0.450450, 0.590361, 0.742424, 0.848485
T0776-D1, 219, 6870.528297, 0.652968, 0.807339, 0.930233, 1.000000, 0.178082, 0.238532, 0.348837, 0.428571, 0.200913, 0.275229, 0.302326, 0.238095, 0.666667, 0.807339, 0.883721, 1.000000
T0777-D1, 345, 98.352381, 0.171014, 0.197674, 0.202899, 0.235294, 0.173913, 0.232558, 0.318841, 0.323529, 0.110145, 0.174419, 0.159420, 0.088235, 0.089855, 0.098837, 0.130435, 0.176471
T0780-D1, 95, 2587.211138, 0.778947, 0.829787, 0.947368, 1.000000, 0.126316, 0.191489, 0.315789, 0.444444, 0.505263, 0.680851, 0.842105, 1.000000, 0.789474, 0.893617, 1.000000, 1.000000
T0780-D2, 96, 2234.898008, 0.812500, 0.916667, 1.000000, 1.000000, 0.145833, 0.250000, 0.526316, 0.666667, 0.395833, 0.562500, 0.789474, 1.000000, 0.697917, 0.895833, 0.947368, 1.000000
T0781-D1, 200, 6.000000, 0.270000, 0.350000, 0.450000, 0.600000, 0.170000, 0.300000, 0.475000, 0.600000, 0.160000, 0.250000, 0.450000, 0.600000, 0.075000, 0.110000, 0.100000, 0.050000
T0781-D2, 175, 34.180546, 0.394286, 0.574713, 0.714286, 0.764706, 0.194286, 0.287356, 0.542857, 0.588235, 0.314286, 0.551724, 0.800000, 0.823529, 0.045714, 0.022989, 0.057143, 0.058824
T0782-D1, 110, 135.930952, 0.727273, 0.890909, 1.000000, 1.000000, 0.536364, 0.763636, 0.954545, 1.000000, 0.509091, 0.709091, 0.818182, 1.000000, 0.327273, 0.472727, 0.590909, 0.818182
T0783-D1, 243, 9156.046709, 0.691358, 0.752066, 0.895833, 0.958333, 0.218107, 0.264463, 0.458333, 0.666667, 0.222222, 0.380165, 0.604167, 0.708333, 0.683128, 0.743802, 0.875000, 0.958333
T0783-D2, 156, 45.523901, 0.646091, 0.776860, 0.833333, 0.833333, 0.251029, 0.388430, 0.687500, 0.791667, 0.226337, 0.338843, 0.500000, 0.666667, 0.572016, 0.702479, 0.791667, 0.791667
T0784-D1, 125, 9.000000, 0.264000, 0.306452, 0.360000, 0.500000, 0.232000, 0.322581, 0.440000, 0.416667, 0.216000, 0.290323, 0.400000, 0.500000, 0.096000, 0.080645, 0.080000, 0.000000
T0785-D1, 112, 4.000000, 0.330357, 0.375000, 0.545455, 0.545455, 0.312500, 0.464286, 0.590909, 0.636364, 0.294643, 0.392857, 0.454545, 0.363636, 0.089286, 0.107143, 0.090909, 0.090909
